Link,IsHomepage,Textmatch_P,Textmatch_S,Textmatch_PP,Link_Match
https://app.hireez.com/policies/generalpolicy,,ccpa||california consumer privacy act,right to access,privacy policy,['policy']
https://www.zoominfo.com/about-zoominfo/privacy-policy,,ccpa||california consumer privacy act,right to access||authorized representative,privacy policy,"['privacy', 'policy']"
http://www.oracle.com/legal/privacy/advertising-privacy-policy.html#adchoices,,ccpa||california consumer privacy act,right to access||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.acxiom.com/data-privacy-ethics/california-consumer-privacy-act/,,ccpa||california consumer privacy act,right to know||non-discrimination,privacy policy,['privacy']
https://www.comscore.com/About/Privacy-Policy,,ccpa||california consumer privacy act,right to access||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.usdatacorporation.com/privacy-policy/,,ccpa,not discriminate||authorized representative,privacy policy,"['privacy', 'policy']"
http://www.therecruitbot.com/privacy/,,ccpa||california consumer privacy act,nondiscrimination||authorized agent,privacy policy,['privacy']
https://www.experian.com/privacy/,,ccpa||california consumer privacy act,right to know,privacy policy,['privacy']
https://www.maxmind.com/en/privacy-policy#california-notice-of-collection,,ccpa||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.melissa.com/privacy#consumer-privacy-rights,,ccpa,right to know||right to access||not discriminate,privacy policy,['privacy']
https://www.outbrain.com/privacy,,ccpa||california consumer privacy act,right to access||non discrimination,privacy policy,['privacy']
https://usmarketinggrp.com/privacy-policy/,,ccpa,right to know||non-discrimination||not discriminate||authorized representative,privacy policy,"['privacy', 'policy']"
https://www.acbj.com/privacy,,ccpa||california consumer privacy act,right to know||right to access||authorized agent,privacy policy,['privacy']
https://www.nativo.com/interest-based-ads,,ccpa||california consumer privacy act,non-discrimination||not discriminate||authorized agent||authorized representative,privacy policy,[]
https://www.propertyradar.com/privacy-policy,,ccpa||california consumer privacy act,not discriminate,privacy policy,"['privacy', 'policy']"
https://www.sovrn.com/privacy-policy/privacy-policy/,,ccpa,right to know||nondiscrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.uplead.com/privacy/,,ccpa||california consumer privacy act,"only you, or a person registered with the california||non-discrimination||not discriminate||authorized agent",privacy policy,['privacy']
http://www.peoplefinders.com/about/privacy,,ccpa,non-discrimination||authorized agent||not be discriminate,privacy policy,['privacy']
https://simiocloud.com/simiocloud-products-services-privacy-policy/,,ccpa||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.audiencerate.com/full-data-privacy-compliance/,,ccpa||california consumer privacy act,right to know||right to access,privacy policy,['privacy']
https://www.netwisedata.com/privacy-policy/,,ccpa,right to access,privacy policy,"['privacy', 'policy']"
https://www.realitydebtsolutions.com/privacy-policy/,,ccpa||california consumer privacy act,right to know||right to access,privacy policy,"['privacy', 'policy']"
http://www.datonics.com/technology-privacy-policy,,ccpa||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized agent||authorized representative,privacy policy,"['privacy', 'policy']"
http://www.decisionlinks.com/california-privacy-rights,,ccpa||california consumer privacy act,right to know||only you or a person registered with the california||non-discrimination||authorized agent,privacy policy,['privacy']
http://www.greatlakeslists.com/privacy-policy,,ccpa||california consumer privacy act,right to know||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://www.hellofyllo.com/privacy-policy/,,ccpa,right to access,privacy policy,"['privacy', 'policy']"
http://www.malvernmedia.com/privacy-policy,,ccpa||california consumer privacy act,non-discrimination||not discriminate||authorized agent||authorized representative,privacy policy,"['privacy', 'policy']"
http://www.openx.com/privacy-center/ad-exchange-privacy-policy/#section-5,,ccpa,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
http://gostrata.com/privacy-policy-ca,,ccpa||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://Luc.id/privacy-policy,,ccpa,right to access,privacy policy,"['privacy', 'policy']"
